date,price,open,high,low,vol,change
2016-09-06,1351.80 ,1327.30 ,1352.50 ,1327.30 ,0.07K,-0.16%
2016-09-05,1354.00 ,1328.10 ,1357.20 ,1325.50 ,281.26K,2.20%
2016-09-02,1324.90 ,1313.20 ,1328.60 ,1309.00 ,0.07K,0.73%
2016-09-01,1315.30 ,1308.50 ,1316.60 ,1304.00 ,0.03K,0.44%
2016-08-31,1309.60 ,1315.50 ,1315.80 ,1309.00 ,0.02K,-0.39%
2016-08-30,1314.70 ,1314.70 ,1314.70 ,1314.70 ,159.33K,-0.68%
2016-08-29,1323.70 ,1320.60 ,1325.10 ,1314.50 ,3.07K,0.08%
2016-08-26,1322.60 ,1321.30 ,1342.30 ,1318.30 ,10.93K,0.11%
2016-08-25,1321.20 ,1323.70 ,1326.50 ,1317.40 ,13.72K,-0.37%
2016-08-24,1326.10 ,1337.60 ,1340.10 ,1323.60 ,18.75K,-1.19%
2016-08-23,1342.10 ,1339.60 ,1344.90 ,1335.30 ,7.96K,0.20%
2016-08-22,1339.40 ,1341.00 ,1341.50 ,1331.60 ,3.89K,-0.21%
2016-08-19,1342.20 ,1353.30 ,1354.00 ,1338.10 ,3.54K,-0.81%
2016-08-18,1353.20 ,1348.30 ,1357.50 ,1347.40 ,5.00K,0.62%
2016-08-17,1344.80 ,1346.90 ,1352.60 ,1336.80 ,6.07K,-0.58%
2016-08-16,1352.70 ,1340.70 ,1360.00 ,1340.70 ,7.63K,0.71%
2016-08-15,1343.20 ,1339.10 ,1344.90 ,1336.80 ,4.12K,0.32%
2016-08-12,1338.90 ,1340.40 ,1358.00 ,1334.20 ,9.39K,-0.49%
2016-08-11,1345.50 ,1347.90 ,1354.70 ,1337.30 ,4.95K,-0.14%
2016-08-10,1347.40 ,1342.30 ,1359.00 ,1341.50 ,5.60K,0.39%
2016-08-09,1342.10 ,1335.90 ,1343.90 ,1331.30 ,6.44K,0.43%
2016-08-08,1336.40 ,1336.30 ,1338.80 ,1330.60 ,7.96K,-0.23%
2016-08-05,1339.50 ,1362.00 ,1366.10 ,1335.40 ,8.56K,-1.70%
2016-08-04,1362.70 ,1360.30 ,1366.80 ,1350.70 ,7.75K,0.18%
2016-08-03,1360.20 ,1366.60 ,1368.70 ,1356.20 ,6.05K,-0.58%
